state_key,"(0, 3)_forward","(1, 3)_diagonal2","(0, 0)_diagonal2","(0, 2)_diagonal2","(0, 2)_forward","(0, 0)_diagonal1","(0, 0)_forward","(1, 2)_diagonal1","(0, 1)_diagonal2","(2, 3)_diagonal1","(1, 0)_forward","(0, 1)_diagonal1","(0, 2)_diagonal1","(1, 3)_diagonal1","(0, 1)_forward","(1, 1)_forward","(1, 0)_diagonal1","(2, 1)_diagonal2","(2, 1)_forward","(0, 3)_diagonal2","(1, 2)_forward","(1, 2)_diagonal2","(2, 2)_forward","(0, 3)_diagonal1","(1, 0)_diagonal2","(2, 1)_diagonal1","(2, 2)_diagonal1","(1, 1)_diagonal2","(2, 0)_diagonal2","(1, 1)_diagonal1","(2, 2)_diagonal2","(2, 3)_forward","(1, 3)_forward","(2, 0)_diagonal1","(2, 0)_forward","(2, 3)_diagonal2"
44,0.9999999999999988,0.0,-0.8999999999999997,-0.9000000000000006,0.9999999999999988,-0.8999999999999997,0.9999999999999989,0.0,-0.9000000000000006,0.0,0.0,-0.9000000000000006,-0.9000000000000006,0.0,0.9999999999999988,0.0,0.0,0.0,0.0,-0.9000000000000006,0.0,0.0,0.0,-0.9000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,0.9998709929921832,-0.8999954797696736,-0.9000842508614317,0.9998838936929648,-0.8999509897987292,0.9999964119488688,0.0,-0.8999067575668228,0.0,0.0,-0.9000044260469849,-0.9000639480481519,-0.9000020944979151,0.9999806367402108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999976094741001,0.0,0.0,0.0
1720,0.0,0.0,-0.2651949,-0.1881,0.19,0.0,0.468559,0.0,-0.2691,0.0,0.0,-0.099,-0.27,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722,0.0,0.0,-0.189,0.0,0.0,-0.18639,0.3439,-0.1,0.0,0.0,0.0,-0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
1726,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.191,344.24390000000005,0.0,0.0,0.1,0.0,-0.2729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27381,0.0,0.0,0.0,0.0,0.0,0.0,100.1,0.0,0.0,0.0,0.73
6,0.9999999999999988,0.1,0.0,-0.9000000004711362,0.9999999994285388,0.0,0.0,0.0,-0.9000000042273828,0.0,-1.111111083856941,-0.900000003622093,-0.8999999958434768,-0.1,0.9999999986724624,0.0,-1.1111111009189278,0.0,0.0,-0.8999999796504884,0.0,0.0,0.0,-0.8999999998836866,-1.1111110939762248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,-0.1,-0.8922964392106648,0.0,-0.8863751566699939,0.9202335569231274,0.0,0.0,0.0,-0.8935894794465222,0.0,-0.8818426602160856,-0.8865175213469655,-0.9032019582759788,-0.8869508642379791,0.9835767967317391,0.0,0.9999999993650432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8839277652191065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9797244404095546,0.0,0.0,0.0
836,0.0,0.271,0.0,-0.329992989291,0.7458134171670999,0.0,0.0,0.0,0.0,0.0,-0.33458031,0.0,-0.383688157515939,-0.559681659,0.0,-0.7414195776024779,0.56953279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45785421,0.0,0.0,0.468559,0.0,0.5217031,0.0,0.0,0.19,0.0,0.0,0.0
102,-0.1,0.612579511,0.0,0.0,0.3439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,-0.44464557271671,0.0,-0.265041,0.0,0.0,772.0033075258403,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.1,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0
