episode,player,total_reward,steps_played,won
96_W,W,1000.0,12.0,W
96_B,B,-6.0,16.0,W
97_W,W,998.0,14.0,W
97_B,B,0.0,10.0,W
98_W,W,5.0,7.0,B
98_B,B,1001.0,11.0,B
99_W,W,-1005.0,17.0,B
99_B,B,2.0,8.0,B
100_W,W,-2.0,14.0,B
100_B,B,984.0,28.0,B
101_W,W,994.0,18.0,W
101_B,B,-4.0,14.0,W
102_W,W,996.0,16.0,W
102_B,B,1.0,9.0,W
103_W,W,-4.0,16.0,B
103_B,B,1003.0,9.0,B
104_W,W,-3.0,13.0,B
104_B,B,1001.0,9.0,B
105_W,W,980.0,34.0,W
105_B,B,-15.0,27.0,W
106_W,W,991.0,19.0,W
106_B,B,-13.0,21.0,W
107_W,W,-4.0,16.0,B
107_B,B,988.0,24.0,B
108_W,W,3.0,3.0,B
108_B,B,998.0,8.0,B
109_W,W,1.0,11.0,B
109_B,B,981.0,31.0,B
110_W,W,2.0,8.0,B
110_B,B,1001.0,9.0,B
111_W,W,-4.0,10.0,B
111_B,B,991.0,15.0,B
112_W,W,-3.0,11.0,B
112_B,B,999.0,9.0,B
113_W,W,997.0,11.0,W
113_B,B,1.0,5.0,W
114_W,W,999.0,11.0,W
114_B,B,2.0,6.0,W
115_W,W,2.0,6.0,B
115_B,B,985.0,23.0,B
116_W,W,988.0,24.0,W
116_B,B,-10.0,20.0,W
117_W,W,1.0,9.0,B
117_B,B,1002.0,8.0,B
118_W,W,999.0,13.0,W
118_B,B,-5.0,15.0,W
119_W,W,973.0,41.0,W
119_B,B,-10.0,22.0,W
120_W,W,1001.0,9.0,W
120_B,B,-6.0,14.0,W
121_W,W,0.0,10.0,B
121_B,B,998.0,12.0,B
122_W,W,-1.0,11.0,B
122_B,B,996.0,14.0,B
123_W,W,1002.0,6.0,W
123_B,B,2.0,4.0,W
124_W,W,-1.0,11.0,B
124_B,B,990.0,20.0,B
125_W,W,1.0,9.0,B
125_B,B,998.0,12.0,B
126_W,W,998.0,10.0,W
126_B,B,0.0,6.0,W
127_W,W,1002.0,12.0,W
127_B,B,-31.0,43.0,W
128_W,W,-27.0,37.0,B
128_B,B,981.0,29.0,B
129_W,W,1002.0,8.0,W
129_B,B,2.0,6.0,W
130_W,W,3.0,5.0,B
130_B,B,997.0,11.0,B
131_W,W,996.0,16.0,W
131_B,B,3.0,7.0,W
132_W,W,999.0,9.0,W
132_B,B,-5.0,11.0,W
133_W,W,980.0,34.0,W
133_B,B,-14.0,26.0,W
